"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","28","","","","0"
"2015","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","48","","","","0"
"2016","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-7","","","","0"
"2017","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-37","","","","0"
"2018","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-50","","","","0"
"2019","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-45","","","","0"
"2020","Prince Edward Island","2016A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-90","","","","0"
"2009","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","23690","","","","0"
"2010","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","22462","","","","0"
"2011","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","22767","","","","0"
"2012","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","20444","","","","0"
"2013","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","19109","","","","0"
"2014","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17790","","","","0"
"2015","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17765","","","","0"
"2016","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","16580","","","","0"
"2017","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17097","","","","0"
"2018","Nova Scotia","2016A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17559","","","","0"
